,Tweet,klasifikasi
1102,hello xlhome customer subscribe number want make payments via klikbca billing internet day dropping,Netral
1103,hello xlhome day pairs internet internet times different technicians need tool dig stuck customer want install even dilamain disappointed,Netral
1104,hello xlhome error hadeh already x red first x tu technician came red next day said condition cable router already cable cable damaged please please technically lazy check cable,Netral
1105,hello xlhome fiber morning disturbed speed slow latency large disturbed wfh helped thanks,Netral
1106,hello xlhome fiber place come seems error huh speed websites overwhelmed looks like dns error picture marketplace overwhelmed admin,Netral
1107,hello xlhome internet connection,Positif
1108,hello xlhome internet interrupted modem often blinking,Netral
1109,hello xlhome internet totally dead since july followed repeatedly via twitter call center much let customer served quickly case total dead especially router device damaged waiting update,Netral
1110,hello xlhome jogja ads trobel disconnect,Positif
1111,hello xlhome koneksinai knp yes mbps id please follow,Netral
1112,hello xlhome mo bgst disorder,Netral
1113,hello xlhome mola tv xlhome subscribed mola want play can t please info thanks,Netral
1114,hello xlhome new xlhome customer got stb tv device week come stb installed house thank answer,Positif
1115,hello xlhome really register sales conditions like,Netral
1116,hello xlhome rmh can t internet even though paid tried turn unwilling able,Netral
1117,hello xlhome slow speed test please check customer id,Positif
1118,hello xlhome still indihome,Positif
1119,hello xlhome sy loyal customers disappointed subscribe numbers actually makes internet connections often trobule moment understand often long time clarification listen tx,Positif
1120,hello xlhome trouble,Negatif
1121,hello xlhome want ask payment issue please check dm,Netral
1122,hello xlhome we ve able access internet day reported issue via email customer service xl home friday july today tuesday july information obtained checking checking please help,Netral
1123,hello xlhome wireless problem day even though xl cellphone problem depok kukus area,Netral
1124,hello xlhome yesterday every hour noon rto mulu later smoothly afternoon need wfh oiii really bleak,Positif
1125,helo min disorder xlhome internet access like,Positif
1126,helo xl customer xlhome fiber already bad network day slow connection depok sukmajaya area please help,Netral
1127,help bro,Positif
1128,help check address covered xlhome fiber network information whether area covered please check yes dian,Positif
1129,help check address covered xlhome fiber network information whether area covered please check yes fitri,Positif
1130,help check dwidharma address covered xlhome fiber network information whether area covered please check yes dian,Netral
1131,help complaints xlhome internet home used dawn please response solution,Positif
1132,help gasengaja list xlhome even though used indihome,Positif
1133,help good cs check whether xlhome id bill yet month instead asbun,Positif
1134,help installation xlhome please,Positif
1135,help xlhome adi,Netral
1136,help xlhome fiber sis adi,Netral
1137,helped xlhome speed unstable tq,Positif
1138,hence thinking change xlhome,Negatif
1139,hexa organizer,Positif
1140,hey admin xlhome internet almost hours,Netral
1141,hey xlhome shit,Positif
1142,hhh offered xlhome trial month free cost take,Netral
1143,hhhh lousy xlhome night surf internet astaghfirullah,Netral
1144,hi aal let s check service information registration xlhome fiber thanks adi,Positif
1145,hi aaronfahri related xlhome fiber services conveyed via dm thanks dian,Positif
1146,hi aay installation xlhome fiber provides ont devices askes internet android tv box installation possible added become android tv device adi,Netral
1147,hi abaah related xlhome fiber services conveyed via dm dian,Netral
1148,hi abaw anything help xlhome adi,Netral
1149,hi abbi please wait next xlhome quiz good luck adi,Positif
1150,hi abdi anything help xlhome adi,Netral
1151,hi abdul questions xlhome contact us xl free non-xl normal rates xlhomecs co idfb xl hometwitter vevi,Negatif
1152,hi abdullah anything help xlhome adi,Netral
1153,hi abi anything help xlhome adi,Positif
1154,hi abi good afternoon help xlhome fiber thanks adi,Netral
1155,hi abil good evening waiting information xlhome fiber adi,Positif
1156,hi abrir anything asked xlhome fiber service fitri,Netral
1157,hi abrirrr anything help xlhome adi,Netral
1158,hi accordance previous information related xlhome fiber services conveyed via dm dian,Positif
1159,hi achmad let s go straight questions xlhome fiber please visit products offer area covered xlhome network thanks adi,Positif
1160,hi achmad xlhome fiber super fast internet access service using optical fiber cables also provides home entertainment products form set top boxes digital tv decoder android tv box thanks mira,Netral
1161,hi acil regarding xlhome fiber services please contact customer service via xl free non-xl normal rates xlhomecs co idfb xl hometwitter vevi,Positif
1162,hi adam anything help xlhome adi,Positif
1163,hi adam related xlhome fiber services conveyed via dm dian,Positif
1164,hi ade anything help xlhome fiber thanks adi,Netral
1165,hi ade currently xlhome fiber tissue still expansion network information whether area covered please check adi,Positif
1166,hi adhimas related xlhome fiber services conveyed via dm dian,Netral
1167,hi adhitya currently simpang limun area included range xl home services continue expand network regularly adhitya also input address website www xlhome,Netral
1168,hi adi apologize inconvenience currently expanding xlhome fiber network area hopefully immediately cover adi area later thanks adi,Netral
1169,hi adi related xlhome fiber services conveyed via dm fitri,Netral
1170,hi adiatmaja really anything help xlhome fiber adi,Positif
1171,hi adib anything help xlhome fiber thanks adi,Positif
1172,hi aditia anything help xlhome adi,Positif
1173,hi aditya help check address covered xlhome fiber network information whether area covered please check yes dian,Netral
1174,hi adlan anything help xlhome fiber adi,Netral
1175,hi admas anything help xlhome adi,Negatif
1176,hi admin xlhome disturbing huh wifi signal stable twitter scroll ig long loading,Positif
1177,hi adri good evening help xlhome fiber thanks adi,Positif
1178,hi adrianr currently cimahi area still covered xlhome fiber regard adrianr help us filling data link,Netral
1179,hi affif apologize inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Positif
1180,hi afgun anything help xlhome fiber adi,Positif
1181,hi afri good evening regarding xlhome fiber services use fiber optic huh afri also check service details details question also dm thanks adi,Positif
1182,hi afrizal anything help xlhome adi,Positif
1183,hi agesta anything asked xlhome fiber service dian,Netral
1184,hi agesta related xlhome fiber services conveyed via dm dian,Positif
1185,hi agil anything help xlhome fiber thanks adi,Netral
1186,hi agung anything help xlhome adi,Positif
1187,hi agungp xlhome fiber service arrived bantul know let s inform full address via dm help check availability network thanks adi,Positif
1188,hi agus anything help xlhome fiber adi,Netral
1189,hi agus good morning anything help xlhome fiber thanks adi,Netral
1190,hi agus regarding xlhome fiber service anything asked adi,Positif
1191,hi ahmad anything help xlhome fiber thanks adi,Netral
1192,hi ahmad help check ahmad s address covered xlhome fiber network information whether ahmad area covered please check yes dian,Positif
1193,hi ahmad ready please wait patience continue expand network hope ahmad area included area subscribe xlhome thanks amalia,Netral
1194,hi ahmad related xlhome fiber services conveyed via dm thanks dian,Netral
1195,hi ahmad wait information update renewal banking service collaboration us xlhome fiber confirm thanks adi,Negatif
1196,hi aidhil right xlhome fiber enjoy netflix service let s subscribe xlhome watch netflix relaxing directly tv adi,Positif
1197,hi aisyah really let s subscribe xlhome watch netflix relaxing directly tv adi,Netral
1198,hi ajay sorry inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Netral
1199,hi aji anything help xlhome adi,Netral
1200,hi aji regarding xlhome anything help adi,Netral
1201,hi aji related xlhome fiber services conveyed via dm thanks dian,Netral
1202,hi akaa anything help xlhome adi,Netral
1203,hi akbar currently area still covered xlhome fiber let s help us filling data link website,Netral
1204,hi akbar currently makassar covered xlhome fiber network still information whether area covered please check adi,Positif
1205,hi akira questions complaints related xlhome services delivered via message raffi,Netral
1206,hi akmal questions xlhome contact us xl free non-xl normal rates xlhomecs co idfb xl hometwitter dian,Netral
1207,hi al good afternoon anything help xlhome fiber thanks adi,Positif
1208,hi al help check time al address covered xlhome fiber network information whether al area covered please check yes dian,Netral
1209,hi al informed advance full address via dm based name housing complex road block rt rw house number help check whether area covered xlhome network dian,Netral
1210,hi al related xlhome fiber service conveyed via dm dian,Netral
1211,hi alasta anything help xlhome adi,Netral
1212,hi alderina cool right sis let s subscribe xlhome,Positif
1213,hi aldie check area time still covered xlhome fiber network information whether area covered please check adi,Netral
1214,hi aldila inform time city serang covered xlhome fiber network information whether area brother covered please check vevi,Positif
1215,hi aldo good night thank choosing service things want ask xlhome fiber service contact us thanks adi,Netral
1216,hi aldo related xlhome fiber service payment made installation even bill sent customer s email address adi,Netral
1217,hi aldry related xlhome fiber services conveyed via dm thanks ersa,Positif
1218,hi alf anything help xlhome fiber thanks adi,Netral
1219,hi alfarizi anything help xlhome adi,Netral
1220,hi alfienzy regarding coverage xlhome fiber network area please wait update hopefully address covered soon thanks adi,Netral
1221,hi alfin checking xlhome fiber network area please visit thanks adi,Positif
1222,hi aliando anything asked xlhome fiber service dian,Positif
1223,hi alie anything help xlhome fiber thanks adi,Netral
1224,hi alter addition xlhome fiber tissue still expansion tissue area please wait area update first adi,Netral
1225,hi alter anything help xlhome adi,Netral
1226,hi alvin good morning thank still things want ask xlhome fiber service contact us adi,Positif
1227,hi alvionita anything help xlhome adi,Positif
1228,hi alyasaf anything asked xlhome fiber service devy,Negatif
1229,hi ama anything help xlhome adi,Positif
1230,hi amat anything help xlhome adi,Positif
1231,hi amed inform part banjarbaru area xlhome fiber network sis information whether area brother covered please check yes vevi,Positif
1232,hi amirullah check area time still covered xlhome fiber network information whether area covered please check adi,Netral
1233,hi amiw questions xlhome contact us xl free non-xl normal rates xlhomecs co idfb xl hometwitter dian,Netral
1234,hi amudi good morning help xlhome fiber thanks adi,Netral
1235,hi ana related xlhome fiber services conveyed via dm thanks dian,Positif
1236,hi anan good evening help xlhome fiber thanks adi,Positif
1237,hi anandars anything help xlhome fiber thanks adi,Netral
1238,hi anando xlhome fiber service provides internet access netflix services subscription fees outside subscription fee xlhome fiber thanks adi,Netral
1239,hi anastasia related xlhome fiber services conveyed via dm dian,Netral
1240,hi andi regarding matter xlhome fiber still trying expand fiber network area waiting update related andi help us filling data link,Netral
1241,hi andra anything help xlhome adi,Positif
1242,hi andreas anything asked xlhome fiber service fitri,Positif
1243,hi andree check material consideration willing offer xlhome fiber thanks adi,Netral
1244,hi andri anything help xlhome fiber adi,Netral
1245,hi andri anything help xlhome fiber thanks adi,Netral
1246,hi andri related xlhome fiber services conveyed via dm dian,Positif
1247,hi andri related xlhome fiber services conveyed via dm thanks dian,Netral
1248,hi andri xlhome fiber service everything long area covered let s check location details adi,Netral
1249,hi andri xlhome fiber use wa services want subscribe please subscribe sales person cro online registration website xl call center clock adi,Positif
1250,hi andy anything asked xlhome fiber service dian,Positif
1251,hi andy related xlhome fiber services conveyed via dm help thanks dian,Positif
1252,hi anee anything asked xlhome fiber service dian,Netral
1253,hi anez anything help xlhome adi,Positif
1254,hi angga anything asked xlhome fiber service dian,Netral
1255,hi anggelia anything help xlhome adi,Negatif
1256,hi anggelia xlhome help adi,Netral
1257,hi anggi anything help xlhome fiber adi,Netral
1258,hi anggit anything help xlhome adi,Netral
1259,hi angriani questions xlhome contact us xl free non-xl normal rates xlhomecs co idfb xl hometwitter dian,Positif
1260,hi angsty anything help xlhome fiber adi,Positif
1261,hi anin anything help xlhome fiber thanks adi,Positif
1262,hi anindityo anything asked xlhome fiber service fitri,Netral
1263,hi anis anything help xlhome fiber adi,Negatif
1264,hi anugerahrade information xlhome fiber services directly checked yes thanks adi,Negatif
1265,hi anwar xlhome fiber super fast internet access service mbps using optical fiber cables access stable adi,Positif
1266,hi anyone asked xlhome fiber service conveyed via dm thanks dian,Positif
1267,hi anything asked xlhome fiber service dian,Positif
1268,hi anything asked xlhome fiber service thanks dian,Positif
1269,hi anything help xlhome adi,Positif
1270,hi anything help xlhome fiber adi,Netral
1271,hi anything help xlhome fiber products adi,Netral
1272,hi anything help xlhome fiber thanks adi,Netral
1273,hi apip related xlhome fiber services conveyed via message april,Netral
1274,hi apriansah anything help xlhome adi,Positif
1275,hi apriansah questions complaints related xlhome services delivered via dm raffi,Positif
1276,hi aprirasy apologize inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Netral
1277,hi aqom xlhome fiber super fast internet access service using optical fiber cables also provides home entertainment products form set top boxes digital tv decoder android tv box please,Positif
1278,hi ardhito anything asked xlhome fiber service dian,Netral
1279,hi ardi anything help xlhome adi,Positif
1280,hi ardy apologize inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Netral
1281,hi arfan let s check area information xlhome fiber service products offer thanks adi,Netral
1282,hi arfan related xlhome fiber services conveyed via dm thanks dian,Netral
1283,hi ari sorry inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Netral
1284,hi aria related xlhome fiber services conveyed via dm thanks dian,Positif
1285,hi ariel regarding intended application still available waiting update hopefully later xlhome fiber special application makes easier customers check subscription billing thanks adi,Netral
1286,hi ariesa related complaints xlhome fiber service conveyed via message fitri,Netral
1287,hi ariestoni check area time still covered xlhome fiber network information whether area covered please check adi,Netral
1288,hi arif anything help xlhome adi,Netral
1289,hi arif related information complaints xlhome fiber service conveyed via dm fitri,Netral
1290,hi arif related xlhome fiber services conveyed via dm thanks dian,Netral
1291,hi arif sorry inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Netral
1292,hi arifin related xlhome fiber service information please contact us via dm fitri,Positif
1293,hi arina let s subscribe xlhome watch eros comfortably directly tv thanks adi,Positif
1294,hi arishna let s check layana details related areas yet covered xlhome fiber networks please help us filling data link,Netral
1295,hi arizal anything asked xlhome fiber service fitri,Positif
1296,hi arka anything help xlhome fiber thanks adi,Positif
1297,hi arnovi xlhome power wifi intended xlhome fiber customers can t used providers thanks adi,Netral
1298,hi arroja anything help xlhome fiber thanks adi,Netral
1299,hi arshyera anything asked xlhome fiber service fitri,Positif
1300,hi arul anything asked xlhome fiber service please dm sis fitri,Netral
1301,hi arul anything help xlhome adi,Netral
1302,hi arwan anything help xlhome adi,Netral
1303,hi ary regarding matter cannot inform still stage installing xlhome fiber infrastructure check update details adi,Netral
1304,hi arya related xlhome fiber services conveyed via dm dian,Positif
1305,hi arya related xlhome fiber services conveyed via message april,Positif
1306,hi aryo anything help xlhome adi,Positif
1307,hi asabela thank confirmation still things want ask xlhome fiber service contact us thanks adi,Positif
1308,hi asep regarding quiz announced please look forward xlhome quiz adi,Positif
1309,hi asep thank anything help xlhome adi,Netral
1310,hi ashecha related xlhome fiber service conveyed via dm thanks yuri,Netral
1311,hi asky el currently xlhome still effort expand network area let s help us filling data link go website,Positif
1312,hi ass anything help xlhome adi,Positif
1313,hi astri anything help xlhome adi,Positif
1314,hi asw anything help xlhome adi,Positif
1315,hi aswnn anything help xlhome fiber thanks adi,Netral
1316,hi ati yuhuuu football fans watch favorite leagues videos xlhome dian,Netral
1317,hi atmo related information complaints xlhome fiber service conveyed via dm fitri,Netral
1318,hi augy currently xlhome fiber reached surabaya city area please wait update currently trying cover areas fiber network yet adi,Netral
1319,hi aulia anything help xlhome adi,Netral
1320,hi aulia currently xlhome fiber trying expand network area regard aulia help us filling data link,Netral
1321,hi auliarachmayangaus anything asked xlhome fiber service dian,Netral
1322,hi aulion watching netflix using xlhome use complicated sis fitri,Netral
1323,hi avo anything help xlhome adi,Positif
1324,hi awansetiwan apologize inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Positif
1325,hi aye questions related xlhome services delivered via message raffi,Positif
1326,hi ayub help xlhome fiber thanks adi,Netral
1327,hi azarralfan help xlhome adi,Netral
1328,hi azhar else surf free moon let s subscribe xlhome info visit website thanks amalia,Positif
1329,hi azka anything help xlhome adi,Netral
1330,hi azka good luck xlhome fiber service providers also always struggle provide best service know thanks adi,Positif
1331,hi azkapr anything help xlhome fiber thanks adi,Netral
1332,hi azkpr anything help xlhome fiber thanks adi,Netral
1333,hi azylaoura good morning help xlhome fiber thanks adi,Positif
1334,hi baby good afternoon anything help xlhome fiber thanks adi,Netral
1335,hi badar inform area yet covered xlhome fiber network information whether area covered please check yes raffi,Netral
1336,hi baden thank anything help xlhome adi,Netral
1337,hi baguskp sorry inconvenience regarding xlhome fiber services conveyed via dm yes dian,Netral
1338,hi bambang regard checking area coverage xlhome fiber network directly visit thanks adi,Netral
1339,hi bams anything help xlhome fiber thanks adi,Netral
1340,hi banas anything help xlhome adi,Positif
1341,hi bangjek anything help xlhome adi,Positif
1342,hi barista else surf free moon let s subscribe xlhome information visit website dm thanks amalia,Netral
1343,hi basid anything asked xlhome fiber service please inform via dm fitri,Netral
1344,hi baskoro anything help xlhome adi,Positif
1345,hi bay anything help xlhome adi,Netral
1346,hi bayu anything asked xlhome fiber service dian,Positif
1347,hi bayu related xlhome fiber services conveyed via dm dian,Netral
1348,hi bayu related xlhome fiber services conveyed via dm thanks dian,Netral
1349,hi baziyad anything help xlhome fiber thanks adi,Netral
1350,hi baziyad check service products xlhome fiber offers thanks adi,Netral
1351,hi beby anything help xlhome adi,Netral
1352,hi bells anything asked xlhome fiber service dian,Netral
1353,hi benediktus currently xlhome already present city jogja please check brother s area adi,Netral
1354,hi bertha help check address brother yet covered xlhome fiber network information whether area covered please check yes fitri,Netral
1355,hi bhakti anything help xlhome adi,Positif
1356,hi bhucenk questions complaints related xlhome services delivered via message raffi,Positif
1357,hi billyton anything help xlhome adi,Netral
1358,hi bima anything asked xlhome fiber service dian,Negatif
1359,hi bima help check malang area yet covered xlhome fiber network information whether area covered please check yes dian,Netral
1360,hi bimmptro anything help xlhome fiber thanks adi,Netral
1361,hi bims thank using service things want ask xlhome fiber service contact us thanks adi,Netral
1362,hi bisot information related xlhome fiber services services please visit thanks adi,Netral
1363,hi blackbaron help check time area still covered xl home fiber network information whether area covered please check,Netral
1364,hi bokir anything help xlhome adi,Netral
1365,hi bom let s check related service information xlhome fiber products thanks adi,Positif
1366,hi boy anything asked xlhome fiber service dian,Positif
1367,hi boys anything help xlhome adi,Positif
1368,hi boys check area still covered xlhome fiber network information please check adi,Netral
1369,hi bram anything help xlhome fiber thanks adi,Positif
1370,hi brandon anything asked xlhome fiber service dian,Positif
1371,hi brendy let s check area directly know location covered xlhome fiber network thanks adi,Netral
1372,hi broto related xlhome fiber services conveyed via dm thanks dian,Netral
1373,hi brou anything help xlhome fiber adi,Positif
1374,hi bry related xlhome fiber services conveyed via dm thanks dian,Positif
1375,hi bryan anything help xlhome adi,Positif
1376,hi buna related xlhome fiber services conveyed via dm thanks dian,Positif
1377,hi caca anything help xlhome adi,Positif
1378,hi call currently xlhome fiber already present bandung check area details adi,Positif
1379,hi calmly anything help xlhome adi,Netral
1380,hi cang xlhome fiber mbps package indeed offered certain promos diareas please inform full address via dm check whether area gets promo package adi,Positif
1381,hi ceasarru thank customer xlhome fiber things want ask xlhome fiber services contact us thanks adi,Positif
1382,hi cecilia anything help xlhome adi,Positif
1383,hi chacho related xlhome fiber service conveyed via dm huh dian,Positif
1384,hi chairul anything help xlhome adi,Positif
1385,hi chairul complaints xlhome fiber services please dm help check thanks adi,Negatif
1386,hi check area time still covered xlhome fiber network information whether area covered please check adi,Netral
1387,hi check different product router previously displayed xlhome izi product xlhome fiber adi,Positif
1388,hi check limestone area currently still covered xlhome fiber network information whether area covered please check wait update adi,Positif
1389,hi chef help xlhome adi,Positif
1390,hi cheqfz anything help xlhome fiber thanks adi,Negatif
1391,hi chien let s subscribe xlhome watch netflix relaxing directly tv adi,Positif
1392,hi chill anything help xlhome adi,Positif
1393,hi ciao waiting registration yes still things want ask xlhome fiber service contact us adi,Positif
1394,hi cimskiii help xlhome adi,Positif
1395,hi clara good afternoon anything help xlhome fiber detailed info dm thanks adi,Negatif
1396,hi colbear help xlhome fiber thanks adi,Negatif
1397,hi conny thank support questions xlhome contact us xl free non-xl normal rates xlhomecs co idfb xl hometwitter adi,Positif
1398,hi coree good afternoon help xlhome fiber thanks adi,Positif
1399,hi council anything help xlhome fiber adi,Positif
1400,hi currently balaraja tangerang area still covered xlhome fiber information whether area covered please check wait update thanks adi,Negatif
1401,hi currently kab malang already xlhome fiber network unfortunately address covered network check wait network update adi,Negatif
1402,hi customer want report internet disorders home los decoder signal red morning morning already telephone cs email xlhome satisfactory response hit still los,Netral
1403,hi dadang anything asked xlhome fiber service dian,Positif
1404,hi dadit anything asked xlhome fiber service fitri,Positif
1405,hi dadit xlhome asked adi,Positif
1406,hi daeng anything asked xlhome fiber service thanks dian,Positif
1407,hi daeng anything help xlhome fiber thanks adi,Netral
1408,hi daeng xl home promo else free internet let s subscribe xlhome info visit website thanks amalia,Positif
1409,hi daluh anything asked xlhome fiber service dian,Positif
1410,hi damar check area time still covered xlhome fiber network information whether area covered please check adi,Positif
1411,hi damar related xlhome fiber services conveyed via dm thanks dian,Negatif
1412,hi dan anything help xlhome adi,Netral
1413,hi danang check directly service product information xlhome fiber offers thanks adi,Positif
1414,hi danang wait update try expand xlhome fiber network area future thanks adi,Netral
1415,hi danang xlhome fiber already sleman indeed covered including kalas details checked danang thanks adi,Netral
1416,hi danar good afternoon xlhome fiber services use fiber optic huh thanks adi,Positif
1417,hi dandi anything help xlhome fiber adi,Positif
1418,hi dang anything help xlhome fiber thanks adi,Positif
1419,hi daniel related xlhome fiber services conveyed via dm dian,Positif
1420,hi daniel related xlhome fiber services conveyed via dm thanks dian,Positif
1421,hi danni thank information want know details xlhome fiber service access thanks adi,Positif
1422,hi danny anything help xlhome adi,Positif
1423,hi danto anything asked xlhome fiber service dian,Positif
1424,hi daus anything asked xlhome fiber service thanks dian,Positif
1425,hi david related xlhome fiber services conveyed via dm dian,Positif
1426,hi dayud anything help xlhome adi,Positif
1427,hi deanti sorry inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Positif
1428,hi debby related xlhome fiber services conveyed via dm thanks dian,Positif
1429,hi dedena anything help xlhome adi,Positif
1430,hi dennis related information xlhome fiber service conveyed via dm fitri,Positif
1431,hi dennis super fast home internet without fup yes xlhome answer thanks adi,Positif
1432,hi dennis thank regarding xlhome fiber service information conveyed via dm fitri,Positif
1433,hi denz anything help xlhome fiber adi,Positif
1434,hi derryal related xlhome fiber services conveyed via dm dian,Positif
1435,hi desi anything asked xlhome fiber service yes send dm us sis fitri,Positif
1436,hi desmond inform yogyakarta area yet covered xlhome fiber network sis except part sleman bantul areas information whether area brother covered,Positif
1437,hi devi anything asked xlhome fiber service dian,Positif
1438,hi devi help check devi s address covered xlhome fiber network information whether devi area covered please check yes dian,Positif
1439,hi devie related xlhome fiber service conveyed via message yes dian,Positif
1440,hi dewi anything help xlhome fiber thanks adi,Positif
1441,hi deysi related xlhome fiber services conveyed via dm dian,Positif
1442,hi dhafin thank xlhome fiber services conveyed via dm fitri,Positif
1443,hi dhani questions xlhome contact us xl free non-xl normal rates xlhomecs co idfb xl hometwitter vevi,Positif
1444,hi dharmadi anything help xlhome adi,Positif
1445,hi dhika check area time still covered xlhome fiber network information whether area covered please check adi,Negatif
1446,hi dhnnn help xlhome adi,Positif
1447,hi dhoka anything help xlhome fiber adi,Positif
1448,hi dhzyazz apologize inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Negatif
1449,hi di anything asked xlhome fiber service dian,Positif
1450,hi dicky anything asked xlhome fiber service thanks dian,Positif
1451,hi dicky anything help xlhome fiber adi,Positif
1452,hi didik anything help xlhome adi,Positif
1453,hi didit anything help xlhome fiber adi,Positif
1454,hi dila anything help xlhome adi,Positif
1455,hi din related xlhome fiber services conveyed via dm dian,Positif
1456,hi dini good afternoon anything help xlhome fiber thanks adi,Positif
1457,hi disaster anything asked xlhome fiber service dian,Positif
1458,hi dita information xlhome unlimited package please check following link sis vevi,Positif
1459,hi ditta anything help xlhome adi,Positif
1460,hi diuun related xlhome fiber services conveyed via dm thanks dian,Positif
1461,hi doel related xlhome fiber services conveyed via dm thanks dian,Positif
1462,hi doel sorry inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Positif
1463,hi doni help check picture displayed indeed belongs xlhome help xlhome fiber thanks adi,Positif
1464,hi doni sorry inconvenience please inform detailed data via dm help follow xlhome fiber team thanks adi,Positif
1465,hi donny let s subscribe xlhome watch netflix relaxing directly tv adi,Netral
1466,hi dorel anything asked xlhome fiber service dian,Positif
1467,hi doyok anything asked xlhome fiber service dian,Positif
1468,hi dusk anything help xlhome fiber adi,Netral
1469,hi dwi good afternoon sorry inconvenience regarding matter help convey xlhome fiber email team adi,Positif
1470,hi dwi let s check detailed information services products xlhome fiber offer thanks adi,Positif
1471,hi dyp questions complaints related xlhome services delivered via message raffi,Netral
1472,hi dys apologize inconvenience regarding xlhome fiber services conveyed via dm yes dian,Positif
1473,hi dys related xlhome fiber services conveyed via dm dian,Positif
1474,hi dystopian anything asked xlhome fiber service dian,Positif
1475,hi eci check simprug de poris area covered xlhome fiber tissue please inform first full address based name housing road block house number via dm help check process first adi,Positif
1476,hi edowmaddusila apologize inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Positif
1477,hi edwards anything help xlhome adi,Positif
1478,hi edy anything help xlhome adi,Positif
1479,hi effendi anything help xlhome adi,Positif
1480,hi effendi information xlhome fiber service conveyed via dm sis fitri,Positif
1481,hi eka anything help xlhome fiber thanks adi,Positif
1482,hi eka currently kebumen area still covered xlhome fiber eka submit additional network eka area website make recommendation,Positif
1483,hi eka good morning besides mbps package xlhome fiber also mbps package let s check directly details information submit quite clear,Positif
1484,hi eka informed advance yes full address via dm based name housing complex road block rt rw house number help check whether eka area covered xlhome network dian,Positif
1485,hi ekasabi inform xlhome internet service including xlhome entertainment service subscribe xlhome get set top box android tv box connected,Positif
1486,hi ekky related xlhome fiber service conveyed via message yes dian,Positif
1487,hi eko anything help xlhome fiber thanks adi,Positif
1488,hi eko related xlhome fiber services conveyed via dm dian,Positif
1489,hi el sorry inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Positif
1490,hi elbow anything help xlhome adi,Positif
1491,hi eldest anything help xlhome adi,Netral
1492,hi elsafan anything help xlhome adi,Positif
1493,hi else surf free month another day let s subscribe xlhome info visit website thanks amalia,Positif
1494,hi else surf free month let s subscribe xlhome info visit website thanks amalia,Positif
1495,hi else surf free month let s subscribe xlhome information visit website thanks amalia,Positif
1496,hi elvira help xlhome adi,Positif
1497,hi em sorry inconvenience regarding xlhome fiber services conveyed via dm yes dian,Positif
1498,hi erga sorry inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Positif
1499,hi eriko anything asked xlhome fiber service thanks dian,Positif
1500,hi ershad questions xlhome contact us xl free non-xl normal rates xlhomecs co idfb xl hometwitter adi,Positif
1501,hi erwinsyah thank things want ask xlhome fiber services contact us thanks adi,Positif
1502,hi erza related xlhome fiber services conveyed via dm dian,Positif
1503,hi eva anything help xlhome fiber thanks adi,Positif
1504,hi eva let s go straight dm anyone wants asked xlhome fiber service thanks adi,Positif
1505,hi evan anything asked xlhome fiber service sis regarding xlhome fiber services conveyed via dm fitri,Positif
1506,hi ezen else surf free moon let s subscribe xlhome info visit website thanks amalia,Positif
1507,hi fadel questions complaints related xlhome services delivered via dm raffi,Positif
1508,hi fadhila let s subscribe xlhome watch netflix relaxing directly tv dian,Positif
1509,hi fadhilah anything help xlhome adi,Negatif
1510,hi fadla anything help xlhome adi,Positif
1511,hi fahmi related information complaints xlhome fiber service conveyed via dm dev,Positif
1512,hi fahmy anything help xlhome adi,Positif
1513,hi fahrurizani anything help xlhome fiber thanks adi,Positif
1514,hi faisal anything help xlhome adi,Positif
1515,hi faisal related xlhome fiber services conveyed via dm dian,Netral
1516,hi faisal related xlhome fiber services conveyed via dm fitri,Positif
1517,hi faizal anything help xlhome adi,Positif
1518,hi faizal thank whether help xlhome adi,Positif
1519,hi fajar help xlhome adi,Positif
1520,hi fajar related xlhome fiber services conveyed via dm fitri,Positif
1521,hi fajri let s check information related xlhome fiber services products thanks adi,Positif
1522,hi fakhri anything help xlhome fiber thanks adi,Netral
1523,hi faqih related complaints xlhome fiber services conveyed via dm fitri,Negatif
1524,hi far regarding said helped xlhome fiber team please wait update later adi,Positif
1525,hi far related xlhome fiber services conveyed via dm dian,Positif
1526,hi farah anything help xlhome adi,Positif
1527,hi farah good afternoon help xlhome fiber thanks adi,Positif
1528,hi farhan anything help xlhome adi,Negatif
1529,hi farhan related information complaints xlhome fiber service conveyed via message yes april,Netral
1530,hi farij anything help xlhome adi,Positif
1531,hi faris anything help xlhome adi,Positif
1532,hi fariz let s subscribe xlhome watch netflix relaxing directly tv adi,Positif
1533,hi fathanyr apologize inconvenience regarding xlhome fiber services conveyed via dm thanks dian,Netral
1534,hi father anything help xlhome fiber thanks adi,Positif
1535,hi father help xlhome fiber thanks adi,Netral
1536,hi father mother anything help xlhome fiber thanks adi,Positif
